hrrnum,mean_price,sd,p25,p50,p75,volume,share_HOPD,share_aboveRP,cv,p7525_ratio,cv
1,1272.047,942.0898,572.25,1091.98,1535,9657,0.5751268,0.272652,0.7406096,2.682394059,0.74060927
2,1554.374,1649.365,560,840,1737.77,1560,0.4621795,0.2929487,1.061112,3.103160714,1.061112062
5,1391.485,1070.943,710,1100,1597.67,2355,0.5409766,0.2819533,0.7696404,2.250239437,0.769640348
6,1343.665,1051.967,814,1095,1379.57,4381,0.7048619,0.2131933,0.7829085,1.69480344,0.782908686
7,1386.386,688.2693,920,1367.99,1672.02,1839,0.6508972,0.451876,0.4964485,1.817413043,0.496448536
9,1014.51,1009.243,420,535.5,1381.99,569,0.43058,0.1757469,0.9948084,3.290452381,0.994808331
10,2362.72,1187.617,1747.12,2111.4,2674.6,4817,0.5329043,0.842433,0.5026481,1.530862219,0.502648219
11,807.1779,750.1968,506,514,771,25752,0.1775784,0.0874884,0.9294071,1.523715415,0.929407012
12,1111.9,992.1065,530,721,1247,51012,0.3166706,0.1917784,0.8922627,2.352830189,0.892262344
14,1118.761,921.4397,540,664,1231,4883,0.3141511,0.2068401,0.823625,2.27962963,0.823625153
15,1016.857,771.9584,503,643.5,1398,19582,0.396793,0.2021755,0.7591614,2.779324056,0.759161219
16,942.205,614.5449,605,850,1025,2591,0.4334234,0.1015052,0.6522412,1.694214876,0.652241179
18,1013.529,903.8959,600,893.645,964.565,1044,0.6628352,0.0948276,0.8918305,1.607608333,0.891830327
19,847.8729,747.8978,490.6,600,874.71,13923,0.2862171,0.1052216,0.8820871,1.782939258,0.882087162
21,1148.949,724.0804,670,947,1413.32,3160,0.6949367,0.1892405,0.6302109,2.109432836,0.630211089
22,1653.615,1339.521,460,1625.44,2305.88,1069,0.3264733,0.5135641,0.8100563,5.012782609,0.81005615
23,1818.931,1609.782,730,1170,2327,25599,0.2991132,0.3931794,0.8850159,3.187671233,0.885015429
25,1097.367,1081.443,454,610,1452.41,3396,0.2603062,0.2346879,0.9854888,3.199140969,0.985488902
31,4011.141,1985.4,3137,3890,4968,592,0.8496622,0.8597973,0.4949712,1.583678674,0.494971381
33,1450.869,1267.57,695,900,1889,8074,0.1624969,0.2941541,0.8736628,2.717985612,0.873662612
43,1388.238,1124.46,663.01,947.925,1753.45,3106,0.3660657,0.2836446,0.809991,2.644681076,0.809990794
56,2232.932,1966.356,642,1478.145,3333.6,34304,0.307107,0.4977554,0.8806161,5.192523364,0.880616158
58,2321.771,1818.509,791,1872,3335.51,2270,0.5176212,0.5634362,0.7832425,4.216826802,0.783242189
62,3260.989,2080.928,1349.495,2958.065,4678.35,728,0.7142857,0.739011,0.6381281,3.466741262,0.638127881
65,1817.526,1235.128,900,1600,2154,8436,0.1353722,0.5271456,0.6795655,2.393333333,0.679565519
69,1370.259,1013.223,754.5,1260,1472,1214,0.2520593,0.2454695,0.7394391,1.950960901,0.73943904
73,2286.792,1804.719,710,1799.755,3278,802,0.3541147,0.5137157,0.7891926,4.616901408,0.789192458
77,2307.302,1409.636,1312,2020,3096,9049,0.397171,0.7354404,0.6109456,2.359756098,0.610945598
78,1181.369,1129.845,720,800,960,1398,0.0665236,0.120887,0.9563864,1.333333333,0.956386193
79,1905.619,1641.613,698,1366.25,2798.66,6849,0.4495547,0.4590451,0.8614591,4.009541547,0.86145919
80,1372.493,1149.308,711,951.825,1470,20024,0.3265581,0.2252797,0.8373873,2.067510549,0.837387149
81,2051.444,1451.035,862.5,1872,2387.2,7887,0.1759858,0.5701787,0.7073236,2.767768116,0.707323719
82,2076.397,1445.453,1014,1800,2534.23,17430,0.1036718,0.5997705,0.696135,2.499240631,0.69613518
83,1077.652,1084.648,582,634,856.5,1095,0.0931507,0.1680365,1.006491,1.471649485,1.006491892
85,2051.867,1598.163,826,1744.8,2429,7992,0.146021,0.5571822,0.7788823,2.940677966,0.778882354
86,1065.231,912.7728,608,732.5,966,2106,0.1163343,0.182811,0.856878,1.588815789,0.856877804
87,2180.083,1491.127,798,1848,3209.87,1663,0.4984967,0.5472038,0.683977,4.022393484,0.68397717
89,1824.159,1307.398,800,1628.08,2260.22,1981,0.269056,0.5068147,0.7167125,2.825275,0.716712743
91,2213.992,1378.995,1433.8,2064,2504,1726,0.4119351,0.7450753,0.6228544,1.746408146,0.622854554
96,2322.669,1979.84,875,1419,3370.87,7535,0.2098208,0.4729927,0.8523985,3.852422857,0.852398684
101,1093.492,641.4143,714,922,1121,6738,0.4223805,0.1245177,0.5865744,1.570028011,0.586574296
102,926.7423,901.9249,553,580,814.5,10956,0.2346659,0.1349945,0.9732208,1.472875226,0.973220819
103,1251.006,992.8146,618,856.87,1474,47046,0.2065638,0.2414445,0.7936131,2.385113269,0.79361298
104,1160.471,951.4728,680,869,1167.25,4063,0.1722865,0.1735171,0.8199022,1.716544118,0.819902264
105,1643.421,1211.201,667,1028.59,2248.66,3424,0.4652453,0.4588201,0.7369999,3.371304348,0.736999831
106,1717.102,1578.94,785,900,2144.63,4575,0.3672131,0.3208743,0.919538,2.732012739,0.919537686
107,1628.698,1603.863,690,750,2049.45,2273,0.3532776,0.2736472,0.9847516,2.970217391,0.984751624
109,1713.625,1322.635,738,1240.62,2201.47,15231,0.5170376,0.4742302,0.7718349,2.98302168,0.771834561
110,1515.737,1041.154,679,1062,2058,25974,0.4604219,0.4106799,0.6868963,3.030927835,0.68689621
111,1746.898,1178.123,828,1500,2392,25188,0.5378355,0.498531,0.6744088,2.888888889,0.67440858
112,1074.591,820.7688,613,710,1245,14042,0.1825951,0.1844467,0.7637962,2.030995106,0.763796458
113,1005.906,1074.565,465,637,1033.72,50915,0.2281842,0.1575567,1.068257,2.223053763,1.068255881
115,872.6925,824.9111,450,522,787.5,4875,0.2162051,0.1524103,0.9452483,1.75,0.945248298
116,860.3151,967.9857,430,513.1,714,15201,0.1105848,0.1045326,1.125152,1.660465116,1.125152517
118,998.1184,914.8912,470.51,684,1136,49959,0.2224024,0.1455994,0.9166158,2.414401394,0.916615904
119,913.1553,976.1953,453,520,785,14773,0.163677,0.1329452,1.069035,1.732891832,1.069035355
